@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
154,'2026/05/14 12:03:24:165',1,0.73083,0.927098,0,0.609654,0.429287,-0.076435,0.922272,0.55961,-0.091671,1,0,0
155,'2026/05/14 12:03:24:196',1,0.72958,0.928776,0,0.611634,0.429263,-0.076544,0.922593,0.560167,-0.090392,1,0,0
156,'2026/05/14 12:03:24:227',1,0.731429,0.926723,0,0.611886,0.42816,-0.075038,0.923568,0.559703,-0.0917,1,0,0
157,'2026/05/14 12:03:24:261',1,0.731092,0.92681,0,0.61178,0.428584,-0.074966,0.923446,0.561129,-0.09092,1,0,0
158,'2026/05/14 12:03:24:299',1,0.730605,0.926109,0,0.614199,0.427517,-0.074091,0.923117,0.559187,-0.089681,1,0,0
159,'2026/05/14 12:03:24:331',1,0.730991,0.926735,0,0.614419,0.428582,-0.076439,0.922761,0.558825,-0.090918,1,0,0
160,'2026/05/14 12:03:24:363',1,0.731932,0.9269,0,0.613824,0.428187,-0.073477,0.923872,0.559304,-0.089874,1,0,0
161,'2026/05/14 12:03:24:393',1,0.72971,0.926825,0,0.615685,0.428028,-0.078672,0.922389,0.559536,-0.091841,1,0,0
162,'2026/05/14 12:03:24:427',1,0.731542,0.923498,0,0.616269,0.429833,-0.072697,0.922263,0.560115,-0.092924,1,0,0
163,'2026/05/14 12:03:24:470',1,0.731944,0.924193,0,0.61385,0.433313,-0.071945,0.922052,0.558675,-0.090564,1,0,0
164,'2026/05/14 12:03:24:507',1,0.731628,0.923961,0,0.612204,0.43216,-0.073145,0.923578,0.560688,-0.090914,1,0,0
165,'2026/05/14 12:03:24:538',1,0.730515,0.923857,0,0.613512,0.429026,-0.075601,0.921914,0.558233,-0.090599,1,0,0
