@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
21,'2026/05/06 10:37:40:641',1,0.650439,0.767711,0,0.600061,0.744173,-0.022204,0.551771,0.71464,-0.038719,0.51212,0.694569,-0.055404,0.476815,0.687175,-0.073213,0.593597,0.606753,-0.01974,0.573344,0.544506,-0.033458,0.562231,0.50434,-0.047093,0.554267,0.46974,-0.058017,0.630021,0.592097,-0.021009,0.627878,0.521662,-0.029028,0.626262,0.47912,-0.037785,0.625206,0.446816,-0.0465,0.66414,0.599919,-0.025551,0.675282,0.538781,-0.035337,0.682179,0.502313,-0.044952,0.687117,0.473077,-0.053168,0.693032,0.624062,-0.032716,0.718387,0.589126,-0.041746,0.733985,0.564239,-0.04671,0.745405,0.54084,-0.051024,1,0,0
22,'2026/05/06 10:37:40:672',1,0.652196,0.769545,0,0.600606,0.745874,-0.023992,0.550942,0.714758,-0.040908,0.508882,0.693762,-0.057631,0.472998,0.686771,-0.075289,0.593827,0.607196,-0.021037,0.573836,0.544728,-0.034931,0.562597,0.504436,-0.048329,0.554293,0.470065,-0.058872,0.630256,0.592138,-0.021057,0.628361,0.52184,-0.02901,0.626613,0.479285,-0.03718,0.625631,0.446644,-0.045182,0.664465,0.599537,-0.024562,0.675574,0.539211,-0.03419,0.682628,0.502667,-0.043287,0.688088,0.473168,-0.05086,0.693039,0.623172,-0.03088,0.718284,0.588908,-0.039473,0.733991,0.564383,-0.044036,0.745815,0.541469,-0.047857,1,0,0
23,'2026/05/06 10:37:40:704',1,0.650543,0.768542,0,0.599548,0.744351,-0.023274,0.551011,0.714137,-0.040147,0.510455,0.693504,-0.057007,0.474806,0.686175,-0.075002,0.59337,0.607416,-0.020713,0.573219,0.544749,-0.034832,0.562034,0.504237,-0.048661,0.55378,0.469405,-0.05968,0.630008,0.593084,-0.021539,0.628094,0.522933,-0.030404,0.626218,0.479877,-0.039842,0.624908,0.446331,-0.04892,0.664147,0.60096,-0.025717,0.675237,0.540128,-0.036328,0.682341,0.50338,-0.04664,0.687702,0.473264,-0.055159,0.692666,0.624834,-0.032549,0.718073,0.589569,-0.042051,0.734084,0.56461,-0.04738,0.746045,0.540988,-0.051899,1,0,0
24,'2026/05/06 10:37:40:733',1,0.649844,0.76756,0,0.598954,0.74322,-0.023087,0.550226,0.713187,-0.04025,0.510111,0.692644,-0.057437,0.474753,0.685164,-0.075763,0.593251,0.606395,-0.020998,0.573156,0.543391,-0.034933,0.562022,0.50316,-0.048764,0.554188,0.468706,-0.059825,0.629783,0.591691,-0.021747,0.627795,0.521682,-0.029994,0.626126,0.478751,-0.039094,0.624985,0.445749,-0.048121,0.663912,0.599277,-0.025766,0.675252,0.537938,-0.035524,0.682346,0.501056,-0.045393,0.6876,0.471473,-0.053873,0.692644,0.623268,-0.032471,0.718009,0.588575,-0.041443,0.733806,0.563685,-0.046559,0.745566,0.540442,-0.05102,1,0,0
25,'2026/05/06 10:37:40:766',1,0.651227,0.767537,0,0.600969,0.743221,-0.023301,0.55206,0.713111,-0.0406,0.51088,0.692907,-0.05798,0.475271,0.685301,-0.076448,0.59443,0.606875,-0.020971,0.573628,0.544206,-0.035296,0.56226,0.503869,-0.049327,0.554432,0.469406,-0.060436,0.630542,0.591825,-0.02171,0.628292,0.520875,-0.030213,0.626821,0.478006,-0.039166,0.625956,0.445413,-0.047924,0.664544,0.599141,-0.025823,0.675667,0.537586,-0.035778,0.682805,0.500937,-0.045406,0.688104,0.471623,-0.053548,0.693335,0.622916,-0.03268,0.718695,0.588169,-0.041444,0.734429,0.563914,-0.046173,0.746034,0.541492,-0.050283,1,0,0
26,'2026/05/06 10:37:40:798',1,0.651743,0.767814,0,0.600107,0.744333,-0.023338,0.550837,0.713313,-0.03997,0.509976,0.692943,-0.05658,0.474757,0.686404,-0.074253,0.594513,0.607134,-0.020701,0.574897,0.544757,-0.034745,0.563739,0.504614,-0.048376,0.555479,0.470336,-0.059187,0.630594,0.592475,-0.021257,0.628766,0.521755,-0.029598,0.626768,0.479175,-0.038423,0.625511,0.446353,-0.047028,0.664629,0.599993,-0.025206,0.67598,0.539262,-0.035192,0.682957,0.502655,-0.044951,0.688372,0.472966,-0.053129,0.693213,0.623976,-0.031885,0.718678,0.589619,-0.040772,0.734501,0.565418,-0.045711,0.746387,0.542911,-0.049967,1,0,0
27,'2026/05/06 10:37:40:830',1,0.651416,0.769509,0,0.600518,0.744477,-0.023275,0.551709,0.713556,-0.040176,0.510594,0.69321,-0.057007,0.475515,0.685809,-0.074924,0.594604,0.607572,-0.020947,0.574371,0.544571,-0.034969,0.563019,0.504191,-0.048643,0.554824,0.469693,-0.059443,0.630725,0.593187,-0.02152,0.629153,0.522077,-0.03007,0.626822,0.479226,-0.039243,0.625344,0.445844,-0.047954,0.664636,0.600793,-0.0254,0.676418,0.539858,-0.035381,0.683482,0.503275,-0.045563,0.689043,0.473307,-0.053993,0.693045,0.624331,-0.031939,0.718686,0.589693,-0.040665,0.735079,0.565592,-0.045633,0.747659,0.542982,-0.049864,1,0,0
28,'2026/05/06 10:37:40:862',1,0.651732,0.770117,0,0.600164,0.746752,-0.024294,0.551336,0.715029,-0.041183,0.510655,0.693876,-0.05782,0.475483,0.687217,-0.075443,0.594717,0.607926,-0.021592,0.575128,0.544897,-0.036026,0.56385,0.504835,-0.049876,0.555293,0.470344,-0.060808,0.631086,0.5933,-0.021909,0.629,0.521918,-0.030815,0.62689,0.479079,-0.039896,0.625751,0.445478,-0.048487,0.665094,0.600997,-0.025712,0.676107,0.54033,-0.036217,0.68299,0.503945,-0.046185,0.688619,0.473677,-0.054335,0.69365,0.624751,-0.032308,0.718505,0.589787,-0.041569,0.734496,0.565884,-0.04668,0.747054,0.543229,-0.050951,1,0,0
29,'2026/05/06 10:37:40:893',1,0.651136,0.768268,0,0.600307,0.743932,-0.022523,0.551752,0.713769,-0.039056,0.511006,0.693737,-0.05568,0.475237,0.686677,-0.073495,0.594027,0.60757,-0.019957,0.573927,0.544408,-0.03347,0.562745,0.503977,-0.046884,0.554556,0.469437,-0.057622,0.630675,0.592901,-0.020848,0.628562,0.522392,-0.028974,0.626657,0.479532,-0.038191,0.625412,0.446408,-0.047229,0.664963,0.600472,-0.024964,0.675978,0.539249,-0.034713,0.683055,0.502229,-0.044886,0.688502,0.472061,-0.053531,0.693678,0.624122,-0.031668,0.719046,0.589095,-0.040499,0.735181,0.564137,-0.045658,0.747484,0.540463,-0.050176,1,0,0
30,'2026/05/06 10:37:40:925',1,0.651573,0.770332,0,0.599692,0.745581,-0.022935,0.550778,0.714313,-0.039374,0.510114,0.693384,-0.055795,0.474736,0.686323,-0.07329,0.594308,0.607298,-0.019631,0.574006,0.54429,-0.032941,0.562682,0.503888,-0.046243,0.554636,0.469396,-0.056883,0.630717,0.592817,-0.020212,0.628818,0.521787,-0.027798,0.627223,0.479087,-0.036243,0.626453,0.446585,-0.044605,0.664899,0.600725,-0.024173,0.676009,0.539789,-0.033281,0.683222,0.502916,-0.042839,0.688861,0.473201,-0.051014,0.693731,0.624747,-0.03087,0.71879,0.589798,-0.039211,0.734617,0.565279,-0.043988,0.746808,0.54227,-0.048151,1,0,0
