@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
53,'2026/05/14 11:50:17:158',1,0.760558,0.888933,0,0.567328,0.718654,-0.070451,0.702109,0.680201,-0.014571,0.669488,0.504649,-0.049826,0.74173,0.670409,-0.012934,0.743369,0.488365,-0.032088,0.778015,0.685427,-0.015848,0.775796,0.521603,-0.035703,0.811929,0.716034,-0.022371,0.837503,0.596549,-0.033597,1,0,0
54,'2026/05/14 11:50:17:197',1,0.760797,0.887788,0,0.569207,0.71941,-0.068925,0.70231,0.680497,-0.014258,0.670399,0.504196,-0.047706,0.741489,0.670958,-0.011899,0.744442,0.487894,-0.029002,0.777321,0.685977,-0.014211,0.776544,0.523434,-0.031998,0.811203,0.716173,-0.020234,0.837461,0.596006,-0.02957,1,0,0
55,'2026/05/14 11:50:17:233',1,0.760593,0.888032,0,0.568492,0.717425,-0.070301,0.702876,0.680462,-0.014904,0.670013,0.504659,-0.04958,0.74232,0.670607,-0.012902,0.743547,0.487336,-0.032112,0.778246,0.685183,-0.015421,0.776095,0.522398,-0.03547,0.812186,0.715235,-0.021574,0.837235,0.594514,-0.032901,1,0,0
56,'2026/05/14 11:50:17:265',1,0.761257,0.88803,0,0.567491,0.71815,-0.07019,0.702549,0.680061,-0.01379,0.669909,0.504687,-0.048205,0.74211,0.669785,-0.011568,0.743614,0.486981,-0.030251,0.778231,0.68423,-0.014052,0.77586,0.521476,-0.034528,0.812328,0.714146,-0.020197,0.837556,0.594535,-0.032484,1,0,0
57,'2026/05/14 11:50:17:294',1,0.761257,0.887769,0,0.567215,0.717684,-0.072341,0.702647,0.680654,-0.015644,0.670272,0.504319,-0.051233,0.742173,0.670826,-0.013659,0.743558,0.486706,-0.034105,0.778235,0.685367,-0.016252,0.77581,0.521952,-0.037929,0.812297,0.715429,-0.022472,0.837458,0.594584,-0.035241,1,0,0
58,'2026/05/14 11:50:17:328',1,0.761587,0.887316,0,0.56785,0.717736,-0.070707,0.70328,0.680158,-0.014382,0.670119,0.504844,-0.049761,0.742436,0.66965,-0.012374,0.743192,0.486544,-0.031766,0.778306,0.683641,-0.015019,0.775531,0.521083,-0.035684,0.812434,0.713305,-0.021326,0.837156,0.593681,-0.033283,1,0,0
59,'2026/05/14 11:50:17:358',1,0.761673,0.887038,0,0.568112,0.718068,-0.069766,0.702392,0.680109,-0.014121,0.670168,0.504074,-0.048137,0.742027,0.670383,-0.011982,0.74328,0.487267,-0.029996,0.778074,0.685602,-0.014451,0.77658,0.521537,-0.033187,0.811745,0.71616,-0.020582,0.836872,0.594544,-0.031218,1,0,0
60,'2026/05/14 11:50:17:391',1,0.76142,0.88732,0,0.568486,0.718409,-0.069572,0.702718,0.679963,-0.013535,0.669952,0.504534,-0.049026,0.741859,0.66969,-0.01208,0.743666,0.486941,-0.03224,0.777769,0.684169,-0.015237,0.775861,0.520895,-0.036082,0.811913,0.714386,-0.022004,0.836576,0.593869,-0.03393,1,0,0
61,'2026/05/14 11:50:17:420',1,0.761611,0.887329,0,0.567961,0.717673,-0.069815,0.702788,0.679596,-0.014151,0.669885,0.505412,-0.049109,0.742492,0.669267,-0.012401,0.743014,0.48723,-0.031796,0.778744,0.684044,-0.015189,0.776112,0.520619,-0.035582,0.812769,0.714633,-0.021572,0.83621,0.59405,-0.033255,1,0,0
62,'2026/05/14 11:50:17:456',1,0.761695,0.886927,0,0.568398,0.717541,-0.069228,0.702912,0.679672,-0.013947,0.670247,0.504771,-0.047858,0.742531,0.669315,-0.012071,0.743245,0.486864,-0.03083,0.778625,0.683899,-0.014678,0.776198,0.520483,-0.035029,0.812526,0.713945,-0.020833,0.836935,0.593846,-0.03278,1,0,0
63,'2026/05/14 11:50:17:486',1,0.761978,0.887413,0,0.568145,0.717156,-0.067809,0.703031,0.68021,-0.012623,0.67068,0.50464,-0.045276,0.742537,0.669824,-0.010363,0.743602,0.487637,-0.027141,0.778619,0.684242,-0.012798,0.775961,0.521141,-0.031207,0.812764,0.713894,-0.018944,0.835894,0.593858,-0.029546,1,0,0
64,'2026/05/14 11:50:17:518',1,0.762032,0.887724,0,0.567698,0.717837,-0.069077,0.702662,0.680089,-0.013633,0.670772,0.504412,-0.047507,0.742103,0.669978,-0.011655,0.743825,0.487128,-0.02974,0.778071,0.684345,-0.014297,0.776256,0.521693,-0.033909,0.811963,0.714091,-0.020566,0.836116,0.594029,-0.031725,1,0,0
65,'2026/05/14 11:50:17:549',1,0.761545,0.887626,0,0.568527,0.716808,-0.072296,0.703147,0.680686,-0.01516,0.671247,0.50503,-0.051305,0.742715,0.670345,-0.013336,0.742925,0.486419,-0.03492,0.778939,0.684336,-0.016119,0.776152,0.52052,-0.038683,0.812937,0.714086,-0.022532,0.836748,0.594933,-0.035907,1,0,0
66,'2026/05/14 11:50:17:582',1,0.761454,0.886311,0,0.568817,0.717305,-0.06946,0.703175,0.67951,-0.014386,0.670687,0.504082,-0.048504,0.742517,0.669788,-0.012625,0.744832,0.486716,-0.032679,0.778165,0.684505,-0.015349,0.776943,0.520985,-0.036643,0.811912,0.714747,-0.021611,0.837394,0.593944,-0.033709,1,0,0
67,'2026/05/14 11:50:17:613',1,0.762404,0.887475,0,0.568631,0.716968,-0.071269,0.703124,0.680023,-0.015734,0.670745,0.504221,-0.051914,0.742653,0.669844,-0.014121,0.744532,0.486467,-0.034697,0.778669,0.684096,-0.017008,0.777216,0.522094,-0.037776,0.812261,0.714048,-0.023492,0.836908,0.59456,-0.034793,1,0,0
68,'2026/05/14 11:50:17:647',1,0.762967,0.886671,0,0.569093,0.716596,-0.070432,0.703181,0.67982,-0.015017,0.670962,0.50409,-0.049111,0.742944,0.66975,-0.012689,0.744178,0.487777,-0.030463,0.779025,0.68427,-0.015012,0.777,0.522755,-0.033794,0.812808,0.714202,-0.02103,0.836726,0.594557,-0.031771,1,0,0
