@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2}

@data
943,'2026/04/25 17:23:38:468',2,0.071495,0.00989,0.003646,0.00222,0.008322,0.001677,0.001712,0.003185,0.001115,0.00384,0.002697,0.00142,1
944,'2026/04/25 17:23:38:504',2,0.069421,0.008872,0.003399,0.002056,0.007524,0.001671,0.001602,0.00312,0.001084,0.003737,0.002642,0.001374,1
945,'2026/04/25 17:23:38:545',2,0.068384,0.008653,0.003128,0.00222,0.006772,0.001545,0.00172,0.003296,0.001054,0.003564,0.002714,0.001453,1
946,'2026/04/25 17:23:38:588',2,0.067219,0.00852,0.003101,0.002247,0.006073,0.001553,0.001588,0.003224,0.001006,0.003451,0.002758,0.001479,1
947,'2026/04/25 17:23:38:619',2,0.067319,0.008113,0.002934,0.002043,0.005961,0.001467,0.001533,0.00324,0.000998,0.003385,0.002605,0.001644,1
948,'2026/04/25 17:23:38:653',2,0.06697,0.008002,0.003009,0.001895,0.005773,0.001443,0.00153,0.003118,0.00094,0.003199,0.002641,0.001702,1
949,'2026/04/25 17:23:38:687',2,0.066021,0.008646,0.002954,0.001919,0.005834,0.001517,0.001592,0.002922,0.000906,0.003141,0.002626,0.001798,1
950,'2026/04/25 17:23:38:719',2,0.064251,0.008472,0.003028,0.001804,0.005814,0.001562,0.001534,0.002907,0.000986,0.003076,0.002996,0.001681,1
951,'2026/04/25 17:23:38:754',2,0.06206,0.008452,0.003375,0.001786,0.006231,0.001705,0.001572,0.002962,0.001112,0.002991,0.003208,0.001701,1
952,'2026/04/25 17:23:38:787',2,0.060958,0.009055,0.003749,0.002032,0.006416,0.001588,0.001592,0.002943,0.001141,0.002908,0.00323,0.00184,1
953,'2026/04/25 17:23:38:819',2,0.060809,0.009527,0.003655,0.001907,0.006652,0.001634,0.001411,0.003404,0.00124,0.00285,0.003473,0.002174,1
954,'2026/04/25 17:23:38:853',2,0.059762,0.009558,0.003599,0.002007,0.00694,0.001701,0.001554,0.003574,0.001234,0.003048,0.003523,0.002064,1
955,'2026/04/25 17:23:38:887',2,0.058922,0.009117,0.003193,0.002011,0.006904,0.001658,0.001431,0.003149,0.001362,0.003254,0.003788,0.001913,1
956,'2026/04/25 17:23:38:921',2,0.058366,0.009086,0.003241,0.001982,0.006879,0.001722,0.001496,0.003113,0.001327,0.003305,0.003735,0.001962,1
957,'2026/04/25 17:23:38:954',2,0.058584,0.009386,0.003382,0.001909,0.006738,0.001666,0.001476,0.003134,0.001241,0.002896,0.003586,0.001978,1
958,'2026/04/25 17:23:38:987',2,0.060057,0.009725,0.003554,0.001958,0.007747,0.001693,0.001563,0.003053,0.001222,0.003049,0.00396,0.001846,1
959,'2026/04/25 17:23:39:020',2,0.059575,0.009411,0.003441,0.001993,0.007756,0.001712,0.001603,0.002993,0.001171,0.002889,0.004027,0.001686,1
960,'2026/04/25 17:23:39:055',2,0.058382,0.009446,0.003591,0.002066,0.007485,0.001843,0.001624,0.002808,0.001106,0.002778,0.004243,0.001622,1
961,'2026/04/25 17:23:39:087',2,0.058895,0.009572,0.003578,0.002181,0.007052,0.001816,0.001428,0.002732,0.001173,0.002783,0.005088,0.001729,1
962,'2026/04/25 17:23:39:122',2,0.060242,0.009155,0.003577,0.002143,0.006854,0.001827,0.001376,0.002668,0.001175,0.002617,0.005063,0.001674,1
963,'2026/04/25 17:23:39:153',2,0.062625,0.00902,0.003454,0.002007,0.006919,0.001729,0.001357,0.002534,0.001177,0.002405,0.00453,0.001451,1
964,'2026/04/25 17:23:39:187',2,0.063563,0.008982,0.003176,0.001962,0.007143,0.001658,0.001318,0.00249,0.001259,0.002206,0.004534,0.001334,1
965,'2026/04/25 17:23:39:221',2,0.063697,0.009198,0.003038,0.001967,0.006968,0.001612,0.001416,0.002649,0.001173,0.002338,0.004307,0.001322,1
966,'2026/04/25 17:23:39:253',2,0.064539,0.009886,0.002981,0.002241,0.006373,0.001593,0.001422,0.002658,0.001143,0.002689,0.00418,0.001512,1
967,'2026/04/25 17:23:39:286',2,0.064852,0.010412,0.002835,0.002165,0.006505,0.0016,0.001411,0.002644,0.001266,0.002726,0.004246,0.001428,1
968,'2026/04/25 17:23:39:321',2,0.065913,0.010334,0.002877,0.00209,0.007265,0.001589,0.001361,0.002631,0.001232,0.002524,0.004143,0.001399,1
969,'2026/04/25 17:23:39:353',2,0.066835,0.010723,0.002683,0.002233,0.007838,0.001678,0.001317,0.002714,0.001227,0.002376,0.003857,0.001264,1
970,'2026/04/25 17:23:39:387',2,0.065919,0.012425,0.002982,0.002173,0.007189,0.001629,0.001342,0.002961,0.001219,0.002288,0.003545,0.001156,1
971,'2026/04/25 17:23:39:420',2,0.064657,0.012836,0.002907,0.002008,0.007111,0.001595,0.001322,0.002965,0.001182,0.002168,0.003438,0.001156,1
972,'2026/04/25 17:23:39:454',2,0.063257,0.012384,0.002737,0.001912,0.007934,0.001673,0.001449,0.00289,0.001176,0.002268,0.003562,0.0012,1
973,'2026/04/25 17:23:39:487',2,0.062675,0.011681,0.002587,0.001952,0.008167,0.001631,0.00158,0.002951,0.001201,0.002157,0.003381,0.001159,1
974,'2026/04/25 17:23:39:520',2,0.062785,0.011341,0.002545,0.001922,0.007988,0.00168,0.00155,0.002824,0.001191,0.00207,0.00323,0.00112,1
975,'2026/04/25 17:23:39:556',2,0.062159,0.01211,0.002433,0.001935,0.007975,0.001648,0.001537,0.002817,0.001248,0.001939,0.003034,0.001057,1
976,'2026/04/25 17:23:39:587',2,0.061917,0.012149,0.002273,0.001858,0.007915,0.001905,0.001417,0.002696,0.001412,0.002049,0.00353,0.000959,1
977,'2026/04/25 17:23:39:621',2,0.060256,0.01244,0.002162,0.001795,0.007631,0.001908,0.001418,0.002836,0.001371,0.002011,0.003306,0.000962,1
978,'2026/04/25 17:23:39:653',2,0.061109,0.013527,0.002394,0.002008,0.007366,0.001795,0.001322,0.002802,0.001303,0.002004,0.002982,0.000924,1
979,'2026/04/25 17:23:39:687',2,0.062144,0.013748,0.002312,0.002094,0.006673,0.001791,0.00127,0.002954,0.001245,0.002269,0.002926,0.000883,1
980,'2026/04/25 17:23:39:721',2,0.061777,0.012924,0.00199,0.001911,0.006709,0.00165,0.001166,0.00262,0.001279,0.002084,0.003047,0.000858,1
981,'2026/04/25 17:23:39:754',2,0.062115,0.013378,0.0018,0.001725,0.006846,0.001683,0.001066,0.002409,0.001327,0.002088,0.003176,0.000903,1
982,'2026/04/25 17:23:39:787',2,0.06256,0.012589,0.001698,0.001666,0.006404,0.001684,0.001006,0.002468,0.001316,0.002113,0.003045,0.00089,1
983,'2026/04/25 17:23:39:820',2,0.062302,0.013633,0.001594,0.001604,0.006674,0.001647,0.001038,0.002431,0.00138,0.001877,0.002689,0.001002,1
984,'2026/04/25 17:23:39:855',2,0.062405,0.01326,0.001618,0.001616,0.006424,0.001542,0.001101,0.002323,0.001573,0.001786,0.002433,0.001018,1
985,'2026/04/25 17:23:39:887',2,0.063038,0.012608,0.001548,0.001549,0.006916,0.001631,0.001241,0.002174,0.001546,0.001711,0.002239,0.001074,1
986,'2026/04/25 17:23:39:920',2,0.06271,0.012485,0.001583,0.001669,0.00689,0.001642,0.001225,0.002299,0.001535,0.001704,0.002042,0.001066,1
987,'2026/04/25 17:23:39:954',2,0.062363,0.012425,0.001733,0.001682,0.00703,0.001735,0.001197,0.002325,0.001538,0.001645,0.001902,0.001008,1
988,'2026/04/25 17:23:39:987',2,0.061651,0.011871,0.001933,0.001613,0.006703,0.001732,0.001129,0.002333,0.001513,0.001671,0.001808,0.001023,1
989,'2026/04/25 17:23:40:020',2,0.060735,0.011496,0.002191,0.001539,0.006312,0.001576,0.001086,0.002455,0.00151,0.001669,0.001842,0.001004,1
990,'2026/04/25 17:23:40:054',2,0.06041,0.012072,0.002288,0.001611,0.006105,0.001531,0.001021,0.002517,0.001467,0.00163,0.001854,0.001025,1
991,'2026/04/25 17:23:40:087',2,0.059946,0.012561,0.002168,0.001672,0.006216,0.001501,0.00094,0.002465,0.001494,0.001572,0.001894,0.001051,1
992,'2026/04/25 17:23:40:121',2,0.05968,0.012447,0.002001,0.001625,0.006666,0.00155,0.000868,0.002372,0.001542,0.001552,0.002102,0.001003,1
993,'2026/04/25 17:23:40:155',2,0.059613,0.012426,0.001881,0.001595,0.006737,0.001589,0.000807,0.002239,0.001587,0.001586,0.0023,0.000959,1
994,'2026/04/25 17:23:40:186',2,0.05851,0.011717,0.001852,0.00142,0.00715,0.001599,0.000702,0.002222,0.001606,0.001491,0.00231,0.000921,1
995,'2026/04/25 17:23:40:220',2,0.058894,0.012129,0.001845,0.001375,0.007448,0.001688,0.000676,0.002133,0.00162,0.00143,0.00224,0.000949,1
996,'2026/04/25 17:23:40:253',2,0.059694,0.012051,0.001992,0.00133,0.006883,0.001637,0.000642,0.002115,0.001442,0.001421,0.002006,0.000897,1
